Number comments,Tier,Title,Votes,Date
8,contributor,Using .loc in a for to change values is not working,1,2017-09-17 01:15:29.344117100
0,novice,Titanic Kernel,1,2017-09-16 10:24:07.470000000
2,novice,Titanic survivorship Neural Network model,2,2017-09-16 00:37:32.163000000
12,novice,Looking for teammates to learn and work together,0,2017-09-15 19:37:04.723824500
11,novice,Forming a team,2,2017-09-15 13:16:54.127444700
3,novice,"Titanic: Predict Survival, First Kernel ",4,2017-09-15 07:50:31.353000000
7,contributor,Titanic Survivors; History Lesson!,10,2017-09-14 22:56:38.830000000
6,novice,Sinking of the Titanic - From Data to Insights,6,2017-09-14 22:07:46.717000000
8,novice,Looking for teammate,1,2017-09-14 07:05:16.876713500
2,contributor,Who survives the Titanic?,0,2017-09-11 16:17:11.320000000
2,contributor,True survived csv file,0,2017-09-11 16:06:44.813898200
0,contributor,Prediction:  Simple Logistic Regression Classifier,3,2017-09-11 02:33:39.213000000
2,novice,A Journey through Titanic,3,2017-09-09 18:40:26.690000000
0,contributor,Machine learning with Caret (R package),2,2017-09-08 22:48:41.543000000
0,contributor,Score changes using the same model,1,2017-09-08 18:51:44.582090300
0,novice,Logistic Regression with Titanic Data,4,2017-09-08 06:54:05.830000000
2,contributor,Decision Tree e Features Numéricas [pt-BR],4,2017-09-07 16:29:09.007000000
39,novice,Beginners Titanic,78,2017-09-07 16:26:24.967000000
9,contributor,Does a Public Leaderboard score of 1 mean overfitting to public dataset ?,5,2017-09-07 15:23:55.930682100
0,novice,Looking to team up in US,0,2017-09-07 13:54:54.268798300
4,contributor,How to deal with cross-validation?,2,2017-09-07 04:33:58.808856100
11,master,Super Guide EDA of Titanic (Updated: Tree digraph),10,2017-09-07 04:32:42.397000000
0,novice,Cabin Fill,0,2017-09-06 17:02:01.160187500
0,contributor,Titanic: Machine learning,2,2017-09-06 11:00:37.320000000
18,contributor,looking for teammates,2,2017-09-05 17:30:45.369676500
2,novice,Titanic is back in R!,7,2017-09-05 16:27:42.667000000
1,contributor,Python Function for Simple and Brief Exploratary Analysis of a Dataframe,0,2017-09-04 16:10:20.765187600
10,contributor,What is an \u0022acceptable\u0022 score ?,5,2017-09-02 19:40:07.463779600
5,novice,Team-up. Shall we?,0,2017-09-02 14:54:00.627508500
2,novice,Titanic // In-depth Analysis [Beginner Friendly],15,2017-09-02 12:58:45.810000000
3,contributor,Titanic Survivors,2,2017-09-01 15:14:53.273000000
2,novice,My first work on kaggle :Titanic problem,0,2017-09-01 06:56:30.660000000
3,contributor,Testing multiple models with scikit-learn(0.79425),6,2017-08-31 12:49:13.077000000
0,contributor,Titanic Solution: A Beginner\u0027s Guide,17,2017-08-31 10:35:22.560000000
0,novice,TensorFlow Walkthrough of Titanic Dataset ,0,2017-08-30 16:20:32.027760800
11,novice,Looking for teammates,0,2017-08-30 03:20:31.688875300
7,novice,A Few Different Methods of Solving,4,2017-08-29 18:55:31.210551900
1,novice,A primitive baseline model,1,2017-08-29 17:39:39.449040800
4,novice,can\u0027t get better than 0.48,0,2017-08-29 10:30:42.608325300
2,contributor,Basic Analysis \u0026 Prediction of survival in python,2,2017-08-28 23:31:42.110000000
5,contributor,Used Binary Logistic Regression,2,2017-08-28 13:22:41.369824600
5,contributor,Titanic Competition,1,2017-08-26 13:43:31.933000000
0,contributor,Titanic Survival - 2,0,2017-08-26 06:45:00.610000000
2,novice,Simple notebook - Titanic,0,2017-08-25 22:53:20.747000000
2,contributor,Titanic DataSet - Solution,2,2017-08-25 07:04:17.990000000
3,contributor,Titanic with XGBoost - with comments in Spanish,1,2017-08-24 19:57:23.327000000
2,novice,Tips for Installing XGBoost on Mac OSX,2,2017-08-23 11:51:28.764271400
12,novice,Experienced student looking for a team,1,2017-08-23 09:56:01.440820900
3,novice,The Titanic problem from a noob perspective,2,2017-08-22 23:26:48.930000000
95,expert,How am I doing with my score?,133,2017-08-22 17:17:37.713000000
2,contributor,Training-set vs. Test-set,2,2017-08-22 09:14:08.243422200
0,novice,Titanic Survival Estimator - Heat Mapped ,0,2017-08-22 06:12:59.800000000
2,novice,Xgboost using MLR package (R),4,2017-08-21 15:52:59.773000000
2,novice,Titanic_Leo,4,2017-08-21 13:01:03.990000000
4,novice,Titanic Survival Estimator,0,2017-08-21 05:11:27.743000000
0,contributor,Predicting survival in the Titanic,2,2017-08-20 16:10:50.543000000
4,novice,Passenger Names,0,2017-08-19 12:39:34.917212300
4,contributor,Looking for teammates to get a higher score ( \u003e 0.8),1,2017-08-18 19:48:06.905142100
5,novice,what  is \u0027gender_submission.csv\u0027  used for?,2,2017-08-18 12:18:09.908651200
0,novice,I am looking for team mates too!,0,2017-08-18 07:59:52.396857100
4,novice,Predict Survived from Titanic Disaster,2,2017-08-18 01:51:32.750000000
0,contributor,"Titanic. Part 1: Look, count, classify",6,2017-08-17 18:49:56.300000000
0,novice,All of the Titanic passengers were Unlucky :(,1,2017-08-16 09:31:46.337359100
0,novice,Pytanic,0,2017-08-16 01:27:38.873000000
1,novice,Help improving vectorized logistic regression,1,2017-08-15 14:38:47.895870700
2,novice,Logistic regression from scratch,4,2017-08-15 13:49:12.650000000
3,contributor,Creating new features,1,2017-08-14 21:14:54.962636500
2,novice,Titanic - Adaboost ! ,0,2017-08-14 15:10:29.340000000
13,contributor,Titanic EDA \u0026 Classification End to End ,7,2017-08-13 14:21:08.747000000
14,contributor,Titanic Competition Notebook (0.80+) - Top 10%,11,2017-08-12 18:52:18.067000000
8,contributor,Titanic: Machine Learning from Disaster ~ 0.842,28,2017-08-12 07:23:36.553000000
3,novice,Help with feature selection,0,2017-08-11 23:10:37.879260600
0,novice,Error Feature Selection with ANN,0,2017-08-11 15:53:41.866038500
5,contributor,Titanic solution using Random Forest Classifier,18,2017-08-11 09:38:54.663000000
2,novice,Predicting survivors,2,2017-08-11 06:27:16.493000000
10,novice,I  am looking for team mates !,1,2017-08-10 12:59:20.632469000
14,novice,Looking for teammates! ,2,2017-08-10 02:09:39.787928100
0,novice,Titanic: Getting Started With R - Part 5: Random Forests,0,2017-08-09 10:17:35.786486500
2,novice,Titanic MC learning challenge,0,2017-08-09 08:15:38.149603500
2,contributor,Titanic Survival Using Decision Trees,0,2017-08-09 07:36:36.767000000
0,expert, LB 0.813~  TOP 3% 2 level model,0,2017-08-09 07:19:05.173000000
4,novice,Submission format for titanic problem.,0,2017-08-09 06:36:31.587126200
1,novice,One NA value in Survived Test Data,0,2017-08-09 04:42:15.883333900
3,novice,Score ,0,2017-08-08 07:35:46.586367000
0,contributor,Investigating Imputation Methods,6,2017-08-08 07:34:20.170000000
2,novice,2 lines of code to 4%,0,2017-08-08 07:28:16.793000000
6,expert,What is considered to be leakage in imputation?,3,2017-08-08 07:20:58.818706100
0,contributor,Selection Features in Titanic. Score 0.818 - 0.804,0,2017-08-07 16:42:13.117000000
3,contributor,A notebook for very beginners ,0,2017-08-07 07:21:03.960000000
2,contributor,Fare format,0,2017-08-06 10:35:02.566200100
2,novice, Data Analysis of Titanic Data Set,5,2017-08-06 03:52:53.107000000
4,novice,Should i impute train amd test set individually or combine them and then impute?,1,2017-08-05 18:18:09.098843400
4,novice,myfirstkaggle,2,2017-08-05 10:48:57.330000000
3,contributor,Help on Titanic Machine Learning,0,2017-08-05 03:45:51.002136800
3,novice,New to this - can\u0027t figure out how to save predictions,0,2017-08-05 01:17:04.576879900
3,novice,Titanic Sinking ,0,2017-08-04 23:58:06.777000000
2,contributor,"Titanic,  pred. random forests algorithm, Python3",2,2017-08-04 14:06:32.030000000
2,novice,Data Set usage for Research,0,2017-08-04 08:11:43.594593300
3,novice,Exploratory Data Analysis on the Titanic Dataset,10,2017-08-04 02:04:59.293000000
0,novice,Seeking for teammates to make cool stuff in this platform! ,1,2017-08-03 20:49:26.215146000
8,novice,Wanted !! team members who are enthusiastic about ML  ,1,2017-08-02 18:54:11.141991300
4,contributor,Titanic-deepnet using keras,7,2017-08-02 17:48:47.360000000
0,contributor,Titanic - Data Analysis + RF Prediction 0.81818 ,0,2017-08-02 13:12:47.593000000
4,novice,Visualising Datasets,0,2017-08-02 00:03:12.472079200
3,novice,Titanic: Machine Learning Algorithms,8,2017-08-01 18:21:14.160000000
2,contributor,GradientBoostingClassifier  80.111111,4,2017-08-01 10:12:58.047000000
2,novice,My First submission - Titanic using python,3,2017-07-31 15:56:55.910000000
0,novice,An Interactive Data Science Tutorial,0,2017-07-30 17:13:48.893000000
2,novice,waiting for help,0,2017-07-30 06:27:15.541164100
0,contributor,Titanic in R with naive Bayes of MLR package,1,2017-07-29 13:13:42.697000000
15,novice,Is the ML course by Andrew NG at coursera good to start ML ?,3,2017-07-29 10:42:39.035825600
5,contributor,Getting Started with Titanic,17,2017-07-29 08:40:49.027000000
2,novice,End-to-End process for Titanic problem,17,2017-07-29 05:57:07.663000000
0,contributor,"Looking for team members, I\u0027m an android developer.",0,2017-07-29 03:53:50.766639000
12,contributor,Looking for team members,0,2017-07-28 20:39:45.948257100
2,contributor,Logistic regression-Machine Learning-beginners,7,2017-07-28 20:09:39.803000000
2,novice,Simple tutorial for Beginners,5,2017-07-28 06:10:00.707000000
3,novice,Titanic Survival Prediction,0,2017-07-28 05:52:14.910000000
0,novice,Catboost for Titanic(top 7%),8,2017-07-28 01:26:19.420000000
0,novice,Why my stacking method is not working anymore?,0,2017-07-27 20:45:45.763551700
1,novice,NEW to ML,1,2017-07-27 20:05:47.016990400
10,novice,Teamup,0,2017-07-27 16:40:13.301382500
3,novice,Trivial Titanic Survivor Prediction 0.79904,2,2017-07-27 07:48:36.803000000
0,novice,Titanic tensorflow,0,2017-07-26 18:43:55.740000000
0,novice,Python Logistic Regretion (0.84),0,2017-07-26 15:01:59.770000000
0,expert,Running \u0022MLBox\u0022 auto-ML package on Titanic,14,2017-07-26 14:48:33.653000000
5,contributor,Yandex CatBoost is amazing,8,2017-07-25 08:24:09.252143000
11,contributor,Yandex CatBoost demo,9,2017-07-25 08:11:03.077000000
2,contributor,Suggestions Requested to improve Feature Engineering used,0,2017-07-24 16:20:39.618906700
2,contributor,Checking the accuracy of my decision tree,0,2017-07-24 16:02:39.263582100
15,novice,"Looking for teammates, I have no experience",2,2017-07-24 12:30:08.819740900
0,contributor,Looking for constructive feedback,0,2017-07-23 19:42:56.800702100
0,novice,i am looking for a team,0,2017-07-22 13:52:02.779099100
16,contributor,Looking for a team members,1,2017-07-22 13:22:47.985279200
5,contributor,Step by step solving titanic problem,18,2017-07-21 14:55:48.290000000
2,novice,Should I how to get the data?,1,2017-07-20 04:38:58.652570800
2,contributor,Using CatBoost ,3,2017-07-19 21:30:31.407000000
0,contributor,Machine Learning - Titanic Disaster Solutions,0,2017-07-19 17:46:18.050000000
3,contributor,Titanic Machine Learning.,0,2017-07-19 16:07:07.003000000
4,novice,What does it mean by Age is fractional if less than 1??,0,2017-07-19 15:43:37.540013500
1,novice,Kernel SVM - Titanic R - code,1,2017-07-19 13:50:12.826046700
3,novice,An Interactive Data Science Tutorial,0,2017-07-19 11:29:40.140000000
13,novice,"Experienced R programmer (new to ML), looking for a team",0,2017-07-18 03:13:48.851515000
33,novice,Looking for a team :),0,2017-07-17 23:29:01.044331200
1,novice,The Problem of Correlation vs. Causation,0,2017-07-17 18:24:16.114846100
3,contributor,How to increase the accuracy of my model?,0,2017-07-17 12:51:48.697142100
2,contributor,"Start useing TFlearn, Acc: up to 90~85%",8,2017-07-16 06:55:21.120000000
2,novice,titanictrial,0,2017-07-15 15:23:25.817000000
0,novice,Titanic xgboost JJ,0,2017-07-15 13:53:51.743000000
0,contributor,Fill in missing Age data in Titanic data set,7,2017-07-15 06:01:57.090000000
22,contributor,Looking for a Team,0,2017-07-14 07:24:21.676774300
7,novice,Are the Fares in titanic dataset accurate ?,1,2017-07-14 03:06:21.444560400
7,contributor,Titanic: Machine Learning from EDA to XGB,30,2017-07-14 01:48:09.163000000
139,expert,Titanic Top 4% with ensemble modeling,562,2017-07-13 21:52:52.383000000
0,novice,Who will survive? A logistic Regression Example,0,2017-07-13 15:51:24.973000000
7,novice,Looking for fellow kagglers to make a team.,0,2017-07-12 16:30:21.650822600
0,novice,Titanic (R),7,2017-07-12 15:05:32.470000000
14,novice,TOGETHER...this is how they survived ,13,2017-07-12 13:20:17.483000000
5,contributor,Dream Team for DataScience(#begginer#Python#fast_learning),0,2017-07-12 12:03:23.873433600
6,novice,Looking for team,1,2017-07-11 16:34:36.431677100
3,novice,8% difference between accuracy and prediction,1,2017-07-10 23:20:22.770934500
0,novice,Titanic by Neural Network with Keras,3,2017-07-10 12:58:55.360000000
2,contributor,Another Titanic Kernel,0,2017-07-10 00:57:29.600000000
2,novice,"Hey, I have done a full fledged course in ML algorithms and is familiar with python and octave.I am looking for enthusiastic teammates to work with,hoping we would have a great learning exerience.",0,2017-07-08 16:07:39.479194700
0,novice,Yet another Titanic Notebook 0.80383 score,1,2017-07-08 11:25:44.783000000
39,master,Beginner Tutorial Using VotingClassifier ~ 82.27,51,2017-07-08 06:30:41.760000000
5,novice,Machine Learning Group,0,2017-07-07 16:48:14.783356300
22,novice,Looking for team mates and fellow,4,2017-07-07 12:18:10.613749100
0,expert,New auto-ML python package !! ,0,2017-07-07 09:03:07.893321800
6,novice,I am starting a new Team,0,2017-07-07 07:26:46.364942400
6,novice,Trouble to fill Missing values ,0,2017-07-07 04:34:49.751859100
4,contributor,Titanic Survival Project,13,2017-07-07 02:05:34.483000000
21,novice,Anyone interested in forming a team?,0,2017-07-06 12:58:55.475097200
8,novice,Looking to set up a new team!,0,2017-07-05 20:50:00.795307000
0,contributor,Titanic日本語チュートリアル　koji,6,2017-07-05 11:10:13.717000000
42,novice,Looking for teammates,10,2017-07-05 07:52:06.720120700
29,contributor,Titanic Data Processing with Python(0.813),50,2017-07-04 04:49:19.787000000
1,novice,Passenger\u0027s deck and NaNs,0,2017-07-03 23:56:47.940421900
0,novice,When create a new feature ?,0,2017-07-03 19:31:18.697106800
2,novice,Predicting Missing data Using Regression Analysis,0,2017-07-03 14:10:55.533000000
3,novice,Are you forced to use R/Python?,0,2017-07-03 12:22:23.688950500
3,novice,Accuracy of 81%,0,2017-07-03 05:33:21.636576200
3,novice,New to ML and DS - want to be part of a team,0,2017-07-02 17:10:26.672304400
4,novice,Titanic - Logistic Regression in R,10,2017-07-01 22:33:47.737000000
4,contributor,Tutorial - Predicting Survival on Titanic,5,2017-07-01 21:09:35.430000000
11,contributor,Pythanic (Please Critique!) ~0.79904,9,2017-07-01 01:22:23.837000000
0,contributor,Accuracy differences,0,2017-06-30 20:14:01.242913700
49,grandmaster,Tidy TitaRnic,172,2017-06-30 15:50:50.750000000
2,contributor,Data Visualization about Titanic-2,7,2017-06-30 07:46:51.787000000
6,novice,First Try in Titanic,12,2017-06-30 03:06:56.807000000
1,contributor,Improving accuracy and LB rank,0,2017-06-29 13:36:24.143355400
18,novice,I am looking for a team,1,2017-06-29 10:07:49.284891000
2,contributor,Should we do the preprocessing using Dataframe or is it wise to use List of arrays instead? ,2,2017-06-28 06:42:20.528471900
23,contributor,Predicting fate of Titanic passengers,34,2017-06-26 07:29:30.430000000
2,contributor,"Data exploration, random forests and XGBoost",0,2017-06-25 14:17:24.750000000
2,contributor,Ahoy! Mateys! Looking for team members for ML,2,2017-06-25 12:04:45.553785400
0,contributor,Learning Data Science: Kaggle\u0027s Titanic Machine Learning from Disaster,1,2017-06-25 03:26:35.261205800
0,novice,titanic_survival_exploration,0,2017-06-24 16:21:43.707000000
3,novice,Where to find the updated dataset - Titanic,1,2017-06-23 14:32:07.433300100
3,contributor,How to deal with factors with multiple levels ,1,2017-06-21 08:15:30.660505200
3,expert,"Diabolo Trick: Pre-train, Train and Solve (\u003e 0.8)",6,2017-06-21 06:17:11.793000000
4,novice,Idea: Tool for comparing performance of different algorithms,1,2017-06-20 13:52:27.193581600
33,contributor,My approach to Titanic competition,67,2017-06-20 10:12:15.363000000
2,novice,Bayesian network approach using libpgm,0,2017-06-19 21:14:28.970000000
3,contributor,First comment,0,2017-06-19 13:13:12.738100900
2,novice,Spark+Scala solution,0,2017-06-19 03:54:53.333449300
0,novice,Looking for a team member,1,2017-06-18 13:39:14.758732500
0,novice,unable to group column values with low counts  from titanic  kernel,0,2017-06-18 10:11:34.256981100
0,novice,Eager to join a team,0,2017-06-17 20:00:11.989371900
4,novice,Using Logistic Regression for the Titanic problem,4,2017-06-16 16:03:17.437000000
2,contributor,My First Kaggle Competition(Comments are welcome),0,2017-06-16 03:32:14.577000000
7,contributor,Need team members,0,2017-06-15 16:39:13.822141200
0,novice,Machine learning code,0,2017-06-15 00:16:41.135259600
1,novice,Improved accuracy 87.5%,0,2017-06-14 20:59:39.542085600
18,novice,Need team members,0,2017-06-13 17:24:04.178286200
20,novice,Titanic - Neural Network,41,2017-06-13 14:20:41.293000000
3,novice,Kernel script - Problem using read_csv to load local files,0,2017-06-13 08:56:53.589030700
1,novice,Question about model selection,0,2017-06-13 00:42:45.862402000
6,contributor,Anyone accepting a newbie as a team member,0,2017-06-12 16:24:37.626753000
4,contributor,Stepping into the world of data science,5,2017-06-12 15:54:23.913000000
2,contributor,Titanic Survival,4,2017-06-12 11:10:40.360000000
0,novice,I cannot make (be) a team?,0,2017-06-11 21:45:59.124398300
0,contributor,try it ,0,2017-06-11 15:22:33.210110900
0,novice,Let\u0027s go hunting,0,2017-06-10 11:37:00.930685500
11,novice,Looking out to build a team..,0,2017-06-10 05:36:00.247355300
6,contributor,Titanic : using KNN,6,2017-06-09 19:04:45.500000000
10,contributor,Looking for team members...,0,2017-06-09 12:46:58.132109700
5,novice,Need a team member ,0,2017-06-09 12:14:16.367190400
3,contributor,Titanic solution in R,1,2017-06-09 09:05:52.577000000
2,novice,Weird error message,0,2017-06-08 20:24:32.420006000
1,contributor,Random Forest Analysis,0,2017-06-08 15:23:20.539942100
2,novice,Looking for team new to ML ,0,2017-06-08 15:18:54.066202100
0,contributor,Simple aproach With tidyverse and caret,2,2017-06-07 17:21:20.333000000
0,novice,Begin,0,2017-06-07 14:15:43.550627100
0,contributor,Titanic with TFLearn network,0,2017-06-07 11:52:06.730000000
13,contributor,Titanic - first kernel,34,2017-06-06 20:05:01.930000000
0,expert,Divide and Conquer [0.82297],2,2017-06-06 06:17:20.010000000
18,contributor,In-Depth Visualisations - Simple Methods,57,2017-06-05 15:03:37.320000000
1,contributor,"Comparison between DecisionTreeClassifier, ExtraTreesClassifier and RandomForestClassifier",0,2017-06-05 14:17:31.916929100
0,novice,"Comparing DecisionTreeClassifier, ExtraTreesClassifier and RandomForestClassifier",0,2017-06-05 13:26:23.295427100
6,contributor,Looking for a team with Octave coding skills.,1,2017-06-05 07:41:57.112804300
151,expert,Divide and Conquer [0.82296],201,2017-06-03 19:11:25.330000000
2,novice,Basic Neural net Step by Step,0,2017-06-03 15:56:13.973000000
9,contributor,Simple tutorial for Beginners,36,2017-06-03 11:39:59.673000000
0,novice,Pytanic,0,2017-06-03 09:37:51.073000000
1,novice,0 scores problems,0,2017-06-03 08:49:51.404447800
2,contributor,What\u0027s a good score?,1,2017-06-03 07:57:01.861284600
4,contributor,Getting Started in Competitions,18,2017-06-03 04:11:11.013000000
71,contributor,Looking for newbies to team up with for comps,8,2017-06-03 02:47:15.755355500
1,contributor,Not able to find patterns or new features out of Names,0,2017-06-02 05:17:45.259041600
7,contributor,Looking for a team member,0,2017-06-01 22:58:18.942013200
1,contributor,Team members required,0,2017-06-01 07:41:02.311134300
2,novice,Lucky try,0,2017-06-01 07:18:06.001151000
0,novice,Scikit-Learn ML from Start to Finish,0,2017-05-31 10:51:05.990000000
1,novice,Spaces in CSV scores 0.00000...,0,2017-05-31 03:45:26.303437400
11,novice,A (mostly!) tidyverse tour of the Titanic,19,2017-05-30 08:44:51.087000000
2,novice,Exploring the Titanic Dataset,0,2017-05-30 03:42:51.623000000
2,novice,My First Kernel - Titanic,5,2017-05-29 19:27:31.233000000
2,novice,Over 0.8 with VotingClassifier,3,2017-05-29 09:43:03.950000000
5,novice,Starting with Kaggle,1,2017-05-28 17:51:06.872276900
0,contributor,Starter Pack,0,2017-05-28 10:52:40.563000000
5,novice,Titanic Solutions - Python,14,2017-05-28 09:36:38.153000000
0,novice,Exploring Survival on the Titanic,0,2017-05-26 14:34:53.380000000
3,novice,Pytanic,3,2017-05-26 14:21:31.613000000
2,novice,titanic数据的初步分析,1,2017-05-26 12:05:38.770000000
26,contributor,Tensorflow-Deep Learning to Solve Titanic,26,2017-05-26 07:14:43.530000000
0,novice,Titanic data,0,2017-05-25 09:29:39.157000000
0,contributor,An Interactive Data Science Tutorial,0,2017-05-25 01:38:07.520000000
0,novice,Titanic Data Science Solutions,2,2017-05-24 14:39:59.573000000
3,contributor,Best way to fill in Age,1,2017-05-24 11:56:34.385715600
0,novice,Titanic Data Science Solutions,0,2017-05-23 16:32:59.570000000
9,novice,dúvida sobre os datasets [iniciante],3,2017-05-23 10:38:20.401868800
0,novice,How to implement PDF Reader in tensorflow?,0,2017-05-23 07:11:30.678291300
0,contributor,Titanic top 10% - My first competition,10,2017-05-22 19:37:22.267000000
0,novice,Test for Titanic,0,2017-05-22 01:11:09.030000000
8,novice,Scikit-Learn ML from Start to Finish,29,2017-05-21 22:44:58.583000000
3,contributor,Applying Keras/Scikit-Learn to Titanic ,5,2017-05-21 20:57:27.503000000
4,contributor,Titanic best working Classifier,0,2017-05-21 20:12:10.317000000
1,novice,Can I write this in Java? instead of Python/R,1,2017-05-20 21:22:29.968203100
2,novice,keras-nn classifier,4,2017-05-20 14:48:20.443000000
0,novice,TITANIC HYBRID SOLUTION,0,2017-05-20 12:40:58.020792700
3,contributor,Titanic Survival Prediction with Keras (Acc-.84),5,2017-05-20 06:26:12.370000000
12,contributor,Let\u0027s run!,22,2017-05-20 00:06:53.433000000
0,novice,Test - this is my title,0,2017-05-19 15:26:05.857000000
4,novice,Titanic Data Science Solutions,4,2017-05-19 09:26:08.943000000
2,novice,An Interactive Data Science Tutorial,4,2017-05-18 14:49:16.403000000
3,novice,Titanic Data Science Solutions,2,2017-05-18 08:32:23.830000000
0,novice,benja,0,2017-05-17 16:24:47.280000000
2,novice,Fare meaning,1,2017-05-16 14:30:14.328527800
3,expert,404 error when submitting from kernel,5,2017-05-16 12:26:27.399994200
14,expert,Microsoft LightGBM with parameter tuning (~0.823),33,2017-05-16 11:59:40.563000000
3,novice,Cannot upload submission files,1,2017-05-16 09:49:01.819700400
2,novice,New Titanic team - Join me.,2,2017-05-16 02:20:15.374176000
0,novice,Toby\u0027s Titanic Analysis,1,2017-05-16 00:42:18.623000000
0,novice,An Interactive Data Science Tutorial,0,2017-05-15 21:50:51.667000000
0,novice,Orderly Survival or the Zs get screwed again.,0,2017-05-15 20:06:51.871684900
21,novice,Looking for a team up,0,2017-05-14 09:41:12.495834900
0,contributor,Titanic Data Science Solutions,3,2017-05-12 19:33:42.240000000
3,novice,Scikit-Learn ML from Start to Finish,8,2017-05-11 13:07:49.287000000
6,novice,Not able to score more than 0.8,3,2017-05-11 09:15:47.715520700
1,contributor,Submission of output file...,1,2017-05-11 08:48:55.257990600
3,novice,Titanic - Cross Validation,0,2017-05-10 22:09:42.053000000
8,contributor,Titanic Data Science Solutions  - Standard Process,2,2017-05-10 07:21:10.807000000
0,novice,"New to Data Science , need a mentor cum team member",0,2017-05-10 03:44:27.802241200
0,contributor,Titanic with GradientBoostingClassifier,0,2017-05-10 01:41:19.377000000
3,contributor,Titanic Disaster - A Genetic Algorithm approach,5,2017-05-09 22:18:54.823000000
0,contributor,Titanic Solution Using Speedml,0,2017-05-09 12:21:37.740000000
6,novice,question to the so-called predict accuracy,1,2017-05-09 00:37:56.044033000
1,contributor,Hints on extreme difference between test data and submission,0,2017-05-08 22:55:06.255581500
0,novice,Learning about Notebooks,0,2017-05-08 21:59:56.533000000
0,novice,How to Kaggle #1 - Titanic Survival Prediction,2,2017-05-08 21:22:03.300000000
0,contributor,Error on Kaggle while running R script,0,2017-05-08 14:16:11.790010700
0,contributor,Titanic Correlation Map and Machine Learning,0,2017-05-08 03:11:13.587000000
3,expert,Optimal Titanic for Pclass only [0.65550],1,2017-05-07 07:59:03.290000000
0,contributor,Titanic is sinking...,0,2017-05-06 16:13:58.330000000
0,novice,Titanic Data Science Solutions,0,2017-05-06 14:52:58.233000000
4,contributor,Question about What is a Random Forest,0,2017-05-06 13:18:08.591622100
0,novice,"Note on Titanic tutorial, in Japanese（日本語で）",1,2017-05-06 11:36:38.403000000
0,contributor,First try,0,2017-05-05 15:04:54.070000000
29,expert,Interactive Dashboards in R,109,2017-05-05 07:03:56.090000000
0,contributor,A Journey through Titanic 998321,0,2017-05-05 03:35:33.930000000
0,expert,GP RNG Stability,0,2017-05-04 17:44:31.070000000
57,novice,Looking for a team member,0,2017-05-04 15:26:20.736884000
2,expert,A_Simple_Genetic_Programming [0.79426],0,2017-05-04 02:45:28.857000000
2,contributor,RandomForest: data preparation and expected performance,0,2017-05-03 18:32:47.155095200
0,contributor,An Interactive Data Science Tutorial f3365b,0,2017-05-03 14:50:30.780000000
5,novice,Titanic-0.82297,9,2017-05-03 14:25:59.373000000
3,novice,My First Kaggle Notebook,8,2017-05-02 05:15:58.827000000
4,novice,Predictive Analysis of Survival Rate on Tit 0f01a0,2,2017-05-01 21:08:04.920000000
20,contributor,Trying neural network,17,2017-05-01 16:17:21.640000000
0,novice,Scikit-Learn ML from Start to Finish,12,2017-05-01 06:04:14.747000000
2,novice,Scikit-Learn ML from Start to Finish,5,2017-05-01 02:46:24.727000000
0,novice,Titanic Kernel,0,2017-04-30 22:46:26.320000000
0,novice,An Interactive Data Science Tutorial,2,2017-04-30 17:09:46.113000000
6,novice,Adaline much worse than Perceptron,1,2017-04-30 15:08:01.461971000
0,novice,titanic prediction-submission,0,2017-04-30 15:07:26.984284300
0,novice,TitanicLearningQI 98f86a,0,2017-04-30 04:18:27.490000000
5,contributor,Titanicタイタニック号の生存確率（kaggle初チャレンジ）,19,2017-04-29 19:51:09.087000000
0,novice,Titanic Data Science Solutions,0,2017-04-28 23:22:57.573000000
69,contributor,Titanic - Data Analysis + RF Prediction 0.81818 ,96,2017-04-27 13:21:09.383000000
2,novice,Titanic Data Science Solutions,0,2017-04-27 04:32:34.307000000
0,contributor,KappaVoid - Testing,5,2017-04-26 22:32:51.220000000
4,novice,Starting my journey here with...Titanic,15,2017-04-26 16:26:42.480000000
0,contributor,Fork of Titanic Survival Predictions,0,2017-04-26 13:29:10.307000000
0,novice,Titanic Data Solutions(Translate into chinese),0,2017-04-26 08:19:55.557000000
0,contributor,Titanic surviver prediction ,0,2017-04-25 17:05:41.817000000
21,novice,New Team (Learning together),2,2017-04-25 11:31:15.668065400
4,expert,CV and leaderboard score: Are training set and test set different?,3,2017-04-24 17:53:36.329959300
3,novice,Titanic Survival list using classification ,4,2017-04-24 15:03:28.513000000
0,novice,Titanic Tutorial with Python,0,2017-04-24 14:26:02.137521500
0,novice,Jeder Anfang ist schwer,0,2017-04-23 21:10:27.897000000
2,expert,Optimal Titanic for Gender only [0.7655],0,2017-04-23 00:19:12.443000000
2,novice,Scikit-Learn ML from Start to Finish,0,2017-04-22 17:26:34.420000000
0,novice,Scikit-Learn ML from Start to Finish,0,2017-04-21 13:10:35.030000000
2,novice,Titanic Data Science Solutions d3a853,2,2017-04-20 07:17:17.977000000
2,novice,An Interactive Data Science Tutorial,3,2017-04-20 07:10:39.327000000
2,novice,Laczy76\u0027s Titanic Data Science Solutions,0,2017-04-19 11:32:12.247000000
0,contributor,Exploring Titanic dataset in Python,0,2017-04-19 08:47:31.057000000
5,novice,Titanic,14,2017-04-19 00:48:24.410000000
0,novice,Titanic best working Classifier,0,2017-04-18 07:34:58.837000000
